name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
ryanlight1991#6355836,548,5814,0.7005663332931679,20,210,5,111,2584,2634,1113,41.80952380952381,63,304,17790,5354887,12.091343963553536,20374,8299
Faze_AyaanBeast#5213549,41,2440,0.9381007304882736,12,75,10,111,3945,787,480,16.395833333333332,48,327,16735,1180974,37.64218551461246,20680,2601
SYNTHEX#5819004,6,311,1.1604477611940298,11,9,4,6,1265,16,65,2.0,8,63,5117,47495,279.975,6382,268
jujuondabeat59#1054429,7,110,0.4641350210970464,3,8,5,0,120,27,13,3.375,8,7,2160,40395,212.44444444444449,2280,237
Kamodo420,8,1325,1.092333058532564,9,79,2,110,513,425,323,85.0,5,117,2493,1230002,10.417411764705884,3006,1213
XxDollarplustaxX#2246442,25,194,1.1085714285714283,9,6,3,0,795,32,38,6.4,5,13,3137,23860,232.6875,3932,175
total_auto#4076820,1,4,0.0363636363636363,0,2,0,110,0,48,1,48.0,0,0,2,7387,4.825,2,110
Karen#6233938,908,13644,1.1123430621229415,22,169,15,116,34267,2461,2274,3.551226551226552,693,1588,132861,3580462,138.10239739943108,167128,12266
PlainComic6#3006619,120,3802,0.9844640082858622,12,53,10,110,10529,419,1050,5.1097560975609735,82,816,44488,900485,125.5747016706444,55017,3862
Archdeluxe#5999480,143,4739,0.9104707012487993,16,159,8,111,7233,1591,1077,17.293478260869566,92,943,56768,3156276,38.56970458830924,64001,5205
ABC#7706517,1,1,0.3333333333333333,1,1,0,0,3,1,0,1.0,0,0,26,250,138.0,29,3
maxedgar21#6187114,460,2974,0.6195833333333334,10,36,10,110,11425,769,592,2.98062015503876,258,531,61362,426379,211.383355006502,72787,4800
invictus080893#6902950,129,838,0.6720128307939054,6,68,4,110,201,573,152,71.625,8,187,1312,1105260,4.192670157068062,1513,1247
stormy_shaper#9371393,3,30,0.8108108108108109,5,2,1,0,109,6,8,2.0,3,10,311,3550,103.3,420,37
blackpanthere152#1673324,155,2512,1.0035956851777867,12,36,11,19,8653,309,341,3.9615384615384617,78,463,40659,423296,154.47766990291262,49312,2503
milko00,359,3861,0.7548387096774194,10,42,9,110,15764,586,623,3.2737430167597767,179,739,76799,565902,222.20068259385656,92563,5115
Imaxkillr#1061613,2,142,0.8402366863905325,4,16,1,13,219,50,24,50.0,1,9,760,111110,17.64,979,169
i-x-123#5179957,52,424,0.7598566308243727,5,28,1,111,77,305,77,152.5,2,115,654,277493,3.2891803278688525,731,558
ASEREKO#4734593,318,17551,1.7477594104760008,21,152,28,14,36723,1250,4653,1.59846547314578,782,2125,160172,2836706,156.46416000000005,196895,10042
IIsmrfII#8405901,1,5,0.8333333333333334,2,1,0,0,6,1,0,1.0,0,0,38,900,140.4,44,6
Head a State#5469656,377,5312,1.1703018285966071,14,155,8,111,10368,1309,752,8.232704402515724,159,556,46957,2966494,61.20045836516425,57325,4539
Paulpiswager#5109041,439,4074,1.0432778489116517,10,171,6,110,4189,1291,935,20.49206349206349,63,331,25564,3686306,27.272347017815648,29753,3905
Westy2Tappy#4689985,862,11844,1.0292865212479358,18,140,7,117,25231,1316,2219,9.467625899280575,139,1385,119414,2420524,80.73738601823709,144645,11507
寛永通宝#8091568,686,28952,1.0086399108138238,14,196,12,111,103659,1459,4279,2.0292072322670376,719,7917,312910,4725635,266.95188485263884,416569,28704
chubs4macarena#9176282,1413,27777,0.947923420810156,16,188,17,111,78610,3104,3991,2.340874811463047,1326,3905,317914,4402177,281.54130154639176,396524,29303
thekingnazgul92#1758862,64,1008,0.6746987951807228,9,20,7,0,4742,129,145,2.15,60,226,23252,156465,308.2418604651163,27994,1494
IBARRA_ANGEL09#7182488,183,1416,0.7950589556428973,10,53,5,110,1042,701,267,28.04,25,93,5122,887735,28.954921540656205,6164,1781
edog145#9208499,43,821,0.596656976744186,7,17,10,2,3255,94,133,2.0,47,192,13211,117380,259.9531914893617,16466,1376
AproposMirror72#2397909,13,24,0.5106382978723404,2,4,0,0,11,22,2,22.0,0,1,36,16405,6.4363636363636365,47,47
Axelfoley247#6929116,747,8839,0.8121841404024626,13,86,10,110,37237,1336,1129,2.9362637362637365,455,1828,195574,1325531,264.350748502994,232811,10883
Tommyboy1333#3287158,7,25,0.6578947368421053,2,4,0,110,29,12,4,12.0,0,3,159,12118,16.0,188,38
InsaneHorse#4943336,402,8388,0.8686826843413422,12,147,10,111,15559,1489,1493,8.048648648648651,185,1405,86338,2675815,86.86823371390196,101897,9656
zacmagz#9603613,1,0,0.0,0,1,0,0,1,1,0,1.0,0,0,32,0,260.4,33,15
